Original,Changes,,,,,,,,,,,,,,,,,,,,,,,
"As an alliance creator you are then responsible for inviting players into your alliance. Sending and receiving an invitation costs nothing, but to accept an invitation a player must also have at least Player Level 1 and a maximum of 200 points.",is 200 points still here? need to ask GP,,,,,,,,,,,,,,,,,,,,,,,
"If you are invited to join an alliance, an alert will appear in your News Screen, telling you who invited you and the alliance name. This includes a link which takes you to a list of current members with their profile details and locations. This list also gives the URL of their forum, if they have one. Note: you must click on the link at the bottom of the list to confirm your membership. If you leave the page without doing this, you will not become a member.",maybe add that you have 48 hours to accept or it will be declined automatically,,,,,,,,,,,,,,,,,,,,,,,
"As a member of an alliance one benefit you receive, is that it is possible for your alliance to win the game (see below for more). In order for an alliance to win the game it must have a minimum of 5 members and an average alliance score equal to or greater than 470 points which is maintained for a period of 3 days.",250 points,,,,,,,,,,,,,,,,,,,,,,,
"The alliance score is calculated by taking the average score of the members, however if there are 10 or more players, the lowest scoring member is not included in the total used to calculate the alliance's overall score; and if it has 15 or more players, the two lowest scoring members are not included in the total used to calculate the alliance's overall score.","Alliance Ranking & Points

The Alliance Points represent the average score of the top members within the alliance — not everyone counts equally.

    All players in the alliance are sorted by their ranking points (from highest to lowest).
    The game decides how many players should count for the alliance score. It uses this rule:
    - CountingMembers = totalPlayers - (totalPlayers / 4)
    - But at least 3 players always count, even in small alliances.
    The points of those top players are added together and divided by the number of counted players to get the final alliance score.

Formula:
Alliance Points = (Sum of Top Counting Members) ÷ Counting Members (rounded down)

Example:
An alliance has 8 members with the following points:
116, 111, 92, 85, 80, 52, 46, 40

Top 6 counting players → 116 + 111 + 92 + 85 + 80 + 52 = 536
Average → 536 ÷ 6 = 89,3
Rounded down → 89 Alliance Points
",,,,,,,,,,,,,,,,,,,,,,,
"If you wish to be part of an alliance, there are three ways to let others know you are interested:",k,,,,,,,,,,,,,,,,,,,,,,,
"look around your map and contact the other players you see, asking if they wish to create one with you;",k,,,,,,,,,,,,,,,,,,,,,,,
check the recruitment topics of existing alliances in the AstroWars Forums and apply directly to them;,discord?,,,,,,,,,,,,,,,,,,,,,,,
post a request with your system coordinates in the Looking for an Alliance/Trade agreement forum topic.,discord?,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,
"Once a player has founded an alliance he has first right to use the alliance tag in the next round, he also will not need to pay the founder's fee again. He may alternatively nominate a new founder to take his place as long as they are an alliance member. The founder will display the reserved tag from the beginning of the round, but he will not have any benefits of the alliance or the use of the alliance screen until he has achieved Player Level 1. To remove this tag and join a different alliance, he must either disband the one he created, or nominate a new founder then resign the game and restart.",k,,,,,,,,,,,,,,,,,,,,,,,
"If you launch a fleet to an alliance member's planet you get 50% speed bonus, as if you had launched to your own planet. You can also access the Alliance Screen where you can see details about other members, such as planets owned (system ID and planet ID, with their order) and their infrastructure, production/science/culture per hour, incoming fleet alerts, idle times, race, fleet locations (with arrival time if launched), trade revenue and partners, science and culture levels.",k,,,,,,,,,,,,,,,,,,,,,,,
Trade Agreement,,,,,,,,,,,,,,,,,,,,,,,,
A Trade Agreement (TA) can be made between two Players. For twenty thousand Astro Dollars you can send or accept an offer of a Trade Agreement to or with another player. Every Player may have a maximum of 5 Trade Agreements with different partners. The Update for Trade Agreements occurs only once each day.,k,,,,,,,,,,,,,,,,,,,,,,,
"If the other player accepts (costing him/her 20000 Astro Dollars as well, except for the Trader Race). Then you will get an income bonus (Production Points (PP), Science (SP), Culture/hour, Growth/hour). You will receive 1% for each planet your trade partners own which have a population equal to or greater than 10.",k,,,,,,,,,,,,,,,,,,,,,,,
"Example: you have two trade partners. Partner A has five planets with populations of 15, 14, 5, 5, 3 and partner B has four planets with populations of 11, 10, 10, 2. You will receive 2% from partner A and 3% from partner B, so your total Trade Revenue will be equal to 5%.",k,,,,,,,,,,,,,,,,,,,,,,,
Trade Agreement Screen,,,,,,,,,,,,,,,,,,,,,,,,
"The total bonus received from Trade Agreements will be shown in the Trade Screen, listed as Trade Revenue, and changes in accordance with your partners' population levels increasing (or decreasing due to resignation/loss of planet).",k,,,,,,,,,,,,,,,,,,,,,,,
There are three levels of status for a Trade Agreement:,k,,,,,,,,,,,,,,,,,,,,,,,
"1. request is pending = the player has made an offer, but the player he offered it to has not yet accepted it;",k,,,,,,,,,,,,,,,,,,,,,,,
2. establishing trade infrastructure = the offer was accepted and will be activated at the next Daily Update;,k,,,,,,,,,,,,,,,,,,,,,,,
3. active trading = the agreement is activated and the player receives the bonus next to that partner's name.,k,,,,,,,,,,,,,,,,,,,,,,,
"Note: The player only receives bonuses from 'active trading' agreements, but the number of agreement slots used out of the limit of five includes all accepted offers, which means those marked 'establishing trade infrastructure' as well as those which are 'active trading'.",k,,,,,,,,,,,,,,,,,,,,,,,
"Example: In the above image, 'active trading' shows the player earns 18% from Oin; 'establishing trade infrastructure' indicates the offer received from crogy has been accepted by the player and will become active at the next Daily Update; 'request is pending' indicates the player offered a Trade Agreement to Brittany who has not yet accepted it. The number of agreement slots used is 2/5 - Oin and crogy, because one is active and one is accepted and waiting to become active.",k,,,,,,,,,,,,,,,,,,,,,,,
Trade Revenue,k,,,,,,,,,,,,,,,,,,,,,,,
"The Trade Revenue is the bonus you get in Growth, Production, Science and Culture per hour. You get bonus for Trade Agreements and the Economy science.",k,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,
You are not able to cancel a Trade Agreement once you accepted the offer or your offer was accepted.,k,,,,,,,,,,,,,,,,,,,,,,,
"If your offer is declined, the agreement is cancelled and your money will be returned almost immediately.",k,,,,,,,,,,,,,,,,,,,,,,,
"If your offer is not responded to within after 48 hours, it is cancelled and your money is returned.",k,,,,,,,,,,,,,,,,,,,,,,,
"Upon mutual acceptance of a Trade Agreement you will not receive the bonuses until after the next Daily Update at 03:00 GMT (02:00 GMT during daylight saving). Until this time, the status will show as 'establishing trade infrastructure'.","00:00 update for TA, and TR% updates every 5 minutes",,,,,,,,,,,,,,,,,,,,,,,
"If one of your Trade Agreement partners resigns, they will disappear from your list and you will no longer receive the bonus they provided. You may then offer that agreement slot to another player upon payment of another fee. No refund is given if a player resigns.","dont know if it dissapears. but we had a player who had no planets for 30+ days and he never got resigned, so no slot open",,,,,,,,,,,,,,,,,,,,,,,
Production Points,,,,,,,,,,,,,,,,,,,,,,,,
"Production Points (PP) are needed to build fleet and enhance the buildings on your planets. Each planet receives 1PP/hour for each level of Robotic Factory built on it, and all planets gain 1PP/hour for each level of Population. Production Points earned are calculated on a decimal basis.",k,,,,,,,,,,,,,,,,,,,,,,,
"When all your planets attain a combined total greater than 150 PP, you have the option to ""Spend All Points"". You can use this to sell all your PP for Astro Dollars (even from sieged planets, although only 70% of the PP from a sieged planet goes to you, with the remaining 30% being lost). Alternatively you can choose to spend them all on a war ship or Starbase.",this needs PL1 too I think,,,,,,,,,,,,,,,,,,,,,,,
"Using Spend All will not gather up all of your PP then let you choose one planet to spend them on. This option spends the PP at each planet in turn on the option you selected, according to the amount of PP found there. So this is not a way to move production points between planets (you should use Colony Ships for that), it is a way of buying the same item on each of your planets in a single transaction.",k,,,,,,,,,,,,,,,,,,,,,,,
"Example: if you have 60 PP on Planet 1; 25 on Planet 2; 65 on Planet 3 you would have enough cumulative points for exactly 5 Destroyers (assuming a cost of 30 PP each). However you will actually get 2 Destroyers on Planet 1, 83% of a Destroyer on Planet 2, and 2 Destroyers plus 66% of another one on Planet 3, giving you an actual total of 4 complete Destroyers, and some points towards others on two of the three planets.",k,,,,,,,,,,,,,,,,,,,,,,,
"To sell all of your PP for Astro Dollars you must choose the ""Interstellar Trade"" option on the Spend All screen. The effect of selling PP is immediate, you do not need to wait until the Daily Update to earn and use the money.","this seems wrong, Spend all is on Planets page",,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,
"Production output can also be increased through Race bonus, the use of Artifacts and bonus from Trade Agreements.",k,,,,,,,,,,,,,,,,,,,,,,,
"When you use Spend All to spend your PP on war ships or starbases, they will not be built on any sieged planets.","cant confirm, but probably no bugs here so k",,,,,,,,,,,,,,,,,,,,,,,
Astro Dollar,,,,,,,,,,,,,,,,,,,,,,,,
"Astro Dollars are the Universal Currency in Astrowars. Astro Dollars can be attained through Trade by selling Production Points (PP) or Artifacts or Supply Units (SU). Astro Dollars can also be gained if you attack and destroy a defending fleet at an unknown Planet, but the random chance to find some money there is low.",you cant find money on unknown planets,,,,,,,,,,,,,,,,,,,,,,,
"Astro Dollars are needed in Astrowars to purchase such items as Artifacts, Supply Units, and Production Points. Astro Dollars are also required to initially set up a registered Alliance, and to contract Trade Agreements with other players.",k,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,
"Astro Dollars, as with any currency, will fluctuate in value by a small amount. This can be seen in the Trade Screen which shows current as well as past values so possible patterns may be analysed. The values are updated at each Daily Update.",The values are updated at each Daily Update.,,,,,,,,,,,,,,,,,,,,,,,
Supply Units,,,,,,,,,,,,,,,,,,,,,,,,
"For each new Player Level you reach, you will earn a supply unit. Your maximum supply unit capacity is also equal to your current Player Level.",k,,,,,,,,,,,,,,,,,,,,,,,
Spending Supply Units,,,,,,,,,,,,,,,,,,,,,,,,
"To spend supply units on buildings, just click on the appropriate button on the lower part of the Spend Points Menu in your Planets Screen. This lower part only shows when you actually own supply units, and will also show any partial refund you may receive for buying certain buildings.",k,,,,,,,,,,,,,,,,,,,,,,,
Supply Unit strategy,,,,,,,,,,,,,,,,,,,,,,,,
"Most players spend their supply units on Robotic Factories or Galactic Cybernets to directly increase their production or culture, for a faster development.",k,,,,,,,,,,,,,,,,,,,,,,,
"Spending supply units on Hydroponic Farms on all of your planets can dramatically increase your population (providing you have a sufficient Social science level), and your score by the same amount. It can be up to two times cheaper than using them on Robotic Factories. You can also spend them all on a single planet to make it your new capital (since planets are sorted by population).",k,,,,,,,,,,,,,,,,,,,,,,,
"Spending supply units on Research Labs is the most cost-effective short term choice, especially if you started with a level 12 Research Lab. It can be handy when the supply unit's price is too unstable, or if you just need to boost your science.",k,,,,,,,,,,,,,,,,,,,,,,,
"If you notice a significant change in the supply unit price's variation amplitude (or for anything else you can buy or sell!), you can try ""playing the market"". This is how to do it:",k,,,,,,,,,,,,,,,,,,,,,,,
Buy when the price is low,k,,,,,,,,,,,,,,,,,,,,,,,
Sell when the price is high,k,,,,,,,,,,,,,,,,,,,,,,,
"In the late stages of each round, the supply unit's price tends to witness some kind of ""resonance"" and keeps going up and down. It is due to naïve players who think they can earn money using this method, causing big changes in demand or supply, and therefore the price.",k,,,,,,,,,,,,,,,,,,,,,,,
Notes,k,,,,,,,,,,,,,,,,,,,,,,,
Supply Units can be spent on any building except Starbases to increase its level.,k,,,,,,,,,,,,,,,,,,,,,,,
You can also buy additional supply units from the Trade menu.,k,,,,,,,,,,,,,,,,,,,,,,,
You can also sell supply units for Astro Dollars from the Trade Screen.,k,,,,,,,,,,,,,,,,,,,,,,,
Planets,,,,,,,,,,,,,,,,,,,,,,,,
"Planets are the basis for development and battle in Astro Wars. Each member of the game is spawned on a single planet, named after the Star System it's located in, called the Planet ID. Some planets are created without an owner (Free) and many are controlled by Unknown. Players control their planets from the Planets Screen, managing the various buildings. The number of possible owned planets directly relates to the player's Culture level.",k,,,,,,,,,,,,,,,,,,,,,,,
Unknown Owner,,,,,,,,,,,,,,,,,,,,,,,,
"If you see a planet to be owned by Unknown, this just means that its former owner has resigned. The unknown player has a neutral race and an overall science level of zero (thus giving you a fighting bonus). If a player becomes unknown, remaining fleet on his planets does not disappear. However, any fleet in transit disappears. This applies to Transports and Colony Ships as well, though they pose no threat to attacking fleets.","there can also be game greated Uknowns, those have SB2 and have no PP on them.",,,,,,,,,,,,,,,,,,,,,,,
"Unknown planets do not continue to generate Production Points after abandonment, but you do get is 10% of the Production Points from the former owner, up to a maximum of 500pp. Therefore, unknown planets are often preferred targets for colonization as opposed to Free Planets, since they offer players extra PPs and existing buildings.","75% of PP, up to max 750PP",,,,,,,,,,,,,,,,,,,,,,,
"Some say that artifacts might be found on the unknown planets. However, this does not happen very often.","not true, remove this",,,,,,,,,,,,,,,,,,,,,,,
Colonizing A Free Planet,,,,,,,,,,,,,,,,,,,,,,,,
"You can colonize unowned planets (Free) with a Colony Ship if your Culture level is higher than your total number of planets. Firstly, you will need to build a Colony Ship by spending production points on any one of your planets. After that, you can launch it via the Fleet Screen towards the selected target.",k,,,,,,,,,,,,,,,,,,,,,,,
"Generally, it is wise to send an escort with the Colony Ship, to ensure its safety. If the planet is under siege by another player at the time of arrival (marked red in the Star System Detail Screen), you will need an escorting war fleet strong enough to defeat the sieging ships in battle, or your ships will be destroyed.",k,,,,,,,,,,,,,,,,,,,,,,,
Conquering an Owned or Unknown Planet,,,,,,,,,,,,,,,,,,,,,,,,
"In order to expand your empire, you will inevitably have to Conquer someone else's planet at some point. Whilst taking some Building Damage, the buildings are at least partially saved. You will find 10% of the production points that were on the planet before you colonized it, up to a maximum of 500 Production Points. To conquer a planet, you must have a Fleet capable of destroying any Starbase and/or Defending Fleet the player might have there, plus Transports at least equal in quantity to the Population (1 Transport can destroy 1 Population). When the Population reaches 0, control of the planet is turned over to the attacker (assuming the attacker has a high enough level of Culture to sustain another planet).","75% of PP, up to max 750PP",,,,,,,,,,,,,,,,,,,,,,,
"Example: if a Planet has a Population of 6, defended by 2 Destroyers and a Starbase level 4, an attacker would need at least 6 Transports, and a fleet worth 45 CV (in any combination of Destroyers, Cruisers and Battleships) to win.",k,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,
"If your culture level increases after your fleet arrives, you will need to re-launch the transports so they arrive again. To avoid this, use the Arrival Time Calculator to help schedule your arrival for a little later than your increase in culture, so you have sufficient time to log in.","k, but you dont need to login to update culture anymore",,,,,,,,,,,,,,,,,,,,,,,
The attacking fleet must include the number of transports at least equal to the level of population on the planet. It is usually better to send extra transports in case the population increases after the fleet is launched.,k,,,,,,,,,,,,,,,,,,,,,,,
"If you include colony ships with your fleet, these will disband on arrival to give you 15 PP each, but they will not colonize an owned planet without transports.","colony ships disband only when you tick a checkmark, same for colonisation",,,,,,,,,,,,,,,,,,,,,,,
"Unowned planets are labelled 'Free Planet' on the Star System Detail Screen. When colonised for the first time, they have no buildings and start with a population level of 1",k,,,,,,,,,,,,,,,,,,,,,,,
"Colony Ships can only be used once, so on each successful colonization you will lose one Colony Ship to take over a free planet. Any other Colony Ships sent with it will be converted into Production Points","colony ships disband only when you tick a checkmark, same for colonisation",,,,,,,,,,,,,,,,,,,,,,,
"To conquer a planet that is already owned by another player, or is marked as 'unknown', you will need Transports instead of Colony Ships. If you try to use Transports to colonize a Free planet, the planet will remain uncolonized, and the ships will remain there.",k,,,,,,,,,,,,,,,,,,,,,,,
"You can send a fleet with Transports to a Free planet without colonising, to use it as a jump point for a sneak attack against an occupied planet. However if you include any colony ships in the fleet, they will colonize the Free planet and disband as soon as you land.","colony ships disband only when you tick a checkmark, same for colonisation",,,,,,,,,,,,,,,,,,,,,,,
ETA Calculator,,,,,,,,,,,,,,,,,,,,,,,,
"This is part of the Fleet Screen and allows you to check the estimated time of arrival (ETA) of a fleet before launching your fleet. The calculator is available to all players, and is very accurate to within one or two seconds. Fleet arrivals are processed by the game server in the strict sequence the launch command is received, so if two fleets have the same arrival time, the one which is launched first will always arrive first.",k,,,,,,,,,,,,,,,,,,,,,,,
"Using this feature will help you to tactically calculate the best time to lunch an attack, to catch your opponent off-guard and minimize his/her reaction or preparation time. Be aware, that even though estimations are quite precise, the fleet will be shown as ""pending"" on arrival for up to one minute until the fleet screen refreshes.",2 minutes pending time,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,
You can only have a maximum of 5 fleets in transit at any given time.,k,,,,,,,,,,,,,,,,,,,,,,,
Battle Calculator,might need adding that ally CV is lower this round,,,,,,,,,,,,,,,,,,,,,,,
"The game has a Battle Calculator feature allowing you to calculate your losses. Simply enter the number of ships for both sides, the Science levels of both you and your opponent and click the ""calculate"" button. If the Science levels are unknown, it is best to enter the players maximum science level - found in their Player Profile - for both Mathematics and Physics.",k,,,,,,,,,,,,,,,,,,,,,,,
"Beside the text boxes you will get the number of ships you should have remaining if you are to win the battle also, the battle calculator displays the probability of victory for each side. The experience gained by the winner is displayed in the loser's 'Combat Value (XP)' field.",k,,,,,,,,,,,,,,,,,,,,,,,
"If there are two values there, the one in brackets applies (meaning the experience gained is reduced to 25% due to the winner having less than two surviving ships).",k,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,
You can only have a maximum of 5 fleets in transit at any given time.,k,,,,,,,,,,,,,,,,,,,,,,,
"If there is a decimal point in the number of ships remaining after the battle, this represents the percentage chance of another surviving. eg: 5.6 means there will be 5 left, and a 60% chance of a 6th surviving.",in this game it always show full survivors,,,,,,,,,,,,,,,,,,,,,,,
Combat Value,,,,,,,,,,,,,,,,,,,,,,,,
Combat value (CV) refers to how well a ship or starbase will fair in a battle.,k,,,,,,,,,,,,,,,,,,,,,,,
Each of the three war ships has a Combat Value based on its attack and defense properties. A Starbase Combat value is based solely on its defense.,k,,,,,,,,,,,,,,,,,,,,,,,
"To calculate the combat Value of each ship, simply add the Attack Value and Defense Value together. To calculate the Combat value of a fleet, combine the combat value of all ships in the Fleet.",k,,,,,,,,,,,,,,,,,,,,,,,
Example,,,,,,,,,,,,,,,,,,,,,,,,
"A Fleet consisting of 10 Destroyers, 2 Cruisers and 10 Battleships would have a combat value of 678:",k,,,,,,,,,,,,,,,,,,,,,,,
Destroyers + Cruisers + Battleships =,k,,,,,,,,,,,,,,,,,,,,,,,
10 * 3 + 2 * 24 + 10 * 60 = 30 + 48 + 600 = 678,k,,,,,,,,,,,,,,,,,,,,,,,
"It is most probable, but not always true, that a fleet with a higher CV than an opposing Fleet, or defensive Starbase will win the Battle, however, there are possibilities that it may not, luck and odds are a factor in every close battle.",k,,,,,,,,,,,,,,,,,,,,,,,
"To properly calculate the possible outcome of a battle, use the Battle Calculator.",k,,,,,,,,,,,,,,,,,,,,,,,
Defense value,,,,,,,,,,,,,,,,,,,,,,,,
"The higher the Defense Value of a ship is, the higher the chance that it will survive a battle.",k,,,,,,,,,,,,,,,,,,,,,,,
"When predicting the outcome of a battle, Defense Value of a fleet should be combined with Attack Value to give the Combat Value (CV). The Starbase's Defense Value should be added to both Attack Value and Defense Value of the defending fleet to provide a relatively reliable prediction of the outcome of the battle (assuming both sides have equal scientific levels of Physics and Mathematics).",k,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,
The owner of the defending planet will always get a warning of the incoming fleet detailing the offensive ships and how many transports are incoming with an ETA (See: Arrival Time Calculator).,k,,,,,,,,,,,,,,,,,,,,,,,
Use the Battle Calculator for a reliable battle outcome prediction.,k,,,,,,,,,,,,,,,,,,,,,,,
Attack Value,,,,,,,,,,,,,,,,,,,,,,,,
"The higher the cumulative Attack Value of a fleet is, the higher is the chance for this fleet of winning a battle.","k, but needs confirmation from GP",,,,,,,,,,,,,,,,,,,,,,,
Both Attack Value and Defense Value should be combined when calculating the outcome of a battle - this gives a fleets Combat Value (CV). A Starbase Defense Value should be added to both Attack Value and Defense Value of the defending fleets CV to provide a relatively reliable prediction of the outcome of the battle (assuming both sides have equal scientific levels of Physics and Mathematics).,"k, but needs confirmation from GP",,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,
"The owner of the planet will always get a warning of the incoming fleet detailing the offensive ships and how many transports with an ETA (See: Arrival Time Calculator), so time your attacks carefully!",k,,,,,,,,,,,,,,,,,,,,,,,
For your convenience there exists some Battle Calculator.,k,,,,,,,,,,,,,,,,,,,,,,,
Non Aggression Pact,,,,,,,,,,,,,,,,,,,,,,,,
"A Non Aggression Pact (also known as ""NAP"") is an agreement between players or alliances not to attack each other. Nothing more, nothing less. Should include some termination clause, if you care about your reputation and want to avoid Backstabbing.",k,,,,,,,,,,,,,,,,,,,,,,,
Friendly Fleets,,,,,,,,,,,,,,,,,,,,,,,,
"Friendly fleet is the term used to describe the fleet of an ally or NAP partner. Usually friendly fleets are sent to a planet to use it as a jump point close to an enemy to attack with very little warning, or to defend the planet from attack.",k,,,,,,,,,,,,,,,,,,,,,,,
"An alliance member will know when his fleet is being sent to a friendly planet, as the launch will be cancelled and an alert will appear in the Fleet Screen, warning that a Non Aggression Pact has been detected.",k,,,,,,,,,,,,,,,,,,,,,,,
Friendly Attack,,,,,,,,,,,,,,,,,,,,,,,,
Friendly Attack (FA) or Friendly Fire (FF) is a tactic used to boost Player Levels and earn Supply Units early in the game.,k,,,,,,,,,,,,,,,,,,,,,,,
Friendly Siege,,,,,,,,,,,,,,,,,,,,,,,,
"This is when a player sieges an ally's planet allowing them to control where the sieged player's production points will go when buying production points, as they are always allocated to the first unsieged planet listed in the Planets Screen.",k,,,,,,,,,,,,,,,,,,,,,,,
"This allows the sieged player to quickly develop weak planets far down the list, or to build urgently needed forces ready for either rapid defence on that planet (probably starbases), or to go to a planet which is closer to here for purposes of rapid defence or attack.","k, but need to add that you loose 5% per sieged planet",,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,
"While the use of friendly fleets cannot be prevented, it is forbidden to use them too often for the wrong reasons.",? what is this?,,,,,,,,,,,,,,,,,,,,,,,
"Friendly fire should only be used to gain the first two player levels, after which a player should gain further levels from battle.","k, but doesnt work this way",,,,,,,,,,,,,,,,,,,,,,,
Friendly siege should only be used for defending an ally's planet when it is under attack and he is unable to defend himself.,k,,,,,,,,,,,,,,,,,,,,,,,
"Friendly fleets should never include transports to colonise the planet, as this is Planet Gifting which is considered cheating.",? probably not considered anymore,,,,,,,,,,,,,,,,,,,,,,,
"Never, ever consider to have a Non Aggression Pact with someone, just because that person is some civilized person and communicates in some friendly tone with you.",?,,,,,,,,,,,,,,,,,,,,,,,
A NAP does not make you 100% safe.,k,,,,,,,,,,,,,,,,,,,,,,,
"A NAP can be terminated with prior warning which leads to a non-backstabbing situation, please read it to know the proper meaning of dishonorably terminating a NAP.",k,,,,,,,,,,,,,,,,,,,,,,,
Race,,,,,,,,,,,,,,,,,,,,,,,,
After your first login you see the page on the right:,k,,,,,,,,,,,,,,,,,,,,,,,
"The first link will use the default race, the other one gives the option to modify your Race to take bonuses or maluses in your attributes. This will give advantages and disadvantages in certain areas of the game.",k,,,,,,,,,,,,,,,,,,,,,,,
Creating a Race,,,,,,,,,,,,,,,,,,,,,,,,
"When creating a race, a player can choose to change his/her attributes positively or negatively. All players start with an attribute offset equal to zero. Players can decide then to increase one attribute, but must choose another to decrease in order to maintain an offset equal to zero. For example, the ability to study science can be increased by 16%, which will result in an offset of -2, and this offset must then be reduced to zero by choosing a decrease in another attribute, for example Growth by -14%. You can see the percentage changes and the related offsets while setting your own race.",k,,,,,,,,,,,,,,,,,,,,,,,
Race Options,,,,,,,,,,,,,,,,,,,,,,,,
The attributes that can be increased or decreased are:,,,,,,,,,,,,,,,,,,,,,,,,
Growth: how fast your Population will grow,k,,,,,,,,,,,,,,,,,,,,,,,
Science: how fast Research of Science is,k,,,,,,,,,,,,,,,,,,,,,,,
Culture: how soon you can colonize new planets,k,,,,,,,,,,,,,,,,,,,,,,,
Production: affects Production Point output on all planets,k,,,,,,,,,,,,,,,,,,,,,,,
Speed: how fast Fleets travel between Planets and Star Systems,k,,,,,,,,,,,,,,,,,,,,,,,
Attack: affects Attack Value,k,,,,,,,,,,,,,,,,,,,,,,,
Defense: affects Defense Value,k,,,,,,,,,,,,,,,,,,,,,,,
"Player Level growth also depends on Race. Each level above the default (+0) setting for Speed, Attack and Defense will give 0.1% increase per day.",k,,,,,,,,,,,,,,,,,,,,,,,
Players also have the option to choose a:,,,,,,,,,,,,,,,,,,,,,,,,
Trader Race: Ability to accept Trade Agreements for free;,k,,,,,,,,,,,,,,,,,,,,,,,
Research Lab 12 for their first planet.,k,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,
"Whichever choices are made, the offset value must always be equal to zero. This means that any increases in one or more attributes must be balanced by decreases in others to the same cumulative value.",k,,,,,,,,,,,,,,,,,,,,,,,
